  -  android-bb40033b689ef956 (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36] 
  -  DESKTOP-GR513JH () >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.75 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36] 
  -  DESKTOP-GR513JH (Maroc Telecom) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36] 
